node_idtdegreetweight_degreetcloseness_centralitytbetweenness_centralityteigenvector_centrality
fliC, hag (g_05066)t39t35.4t0.00812441968430827t21.3673890550113t0.840211081718829
GST, gst (g_24930)t26t23.8857142857143t0.00726141078838174t21.8719965986705t0.400817877046461
GST, gst (g_29251)t40t35.6571428571429t0.00836920133907221t35.9772580963397t0.853701158355655
SOD2 (g_41985)t31t27.4571428571429t0.00763525305410122t31.5095335318353t0.640303370445724
atuC (g_40484)t34t30.5714285714286t0.00775881179339393t21.1005264156592t0.685778651301622
recC (g_02713)t26t22.9142857142857t0.00689383494189483t16.7233279921801t0.237134226496338
recA (g_12311)t45t40.4285714285714t0.00835721107927412t22.4605253979639t1
dnaQ (g_14798)t34t30.5714285714286t0.00775881179339393t21.1005264156592t0.685778651301622
dnaX (g_15106)t24t21.0857142857143t0.00753498385360603t25.919671756586t0.299035228533694
dnaE (g_35791)t35t31.9714285714286t0.00828206341694273t36.1392140242397t0.753638400537807
polA (g_37755)t39t35.4t0.00812441968430827t21.3673890550113t0.840211081718828
recB (g_39689)t38t33.8285714285714t0.00779683671196258t45.1490066065663t0.57597124607219
CYTB, petB (g_26961)t40t35.6571428571429t0.00836920133907221t35.9772580963397t0.853701158355655
ALDH (g_34836)t40t35.6571428571429t0.00836920133907221t35.9772580963397t0.853701158355655
gmhB (g_19549)t35t31.9714285714286t0.00828206341694273t36.1392140242397t0.753638400537807
waaC, rfaC (g_19585)t42t38.1142857142857t0.00867625185919683t68.7995096566154t0.862734424270659
waaL, rfaL (g_21270)t32t28.0571428571429t0.00781075652756081t39.6028966868246t0.650870390080831
gtrB (g_24969)t34t30.6285714285714t0.00761531766753699t20.1708069229867t0.681401983399771
kdsC (g_31164)t45t40.4285714285714t0.00835721107927412t22.4605253979639t0.999999999999999
rfbC (g_56307)t39t35.4t0.00812441968430827t21.3673890550113t0.840211081718827
dnaK, HSPA9 (g_03874)t26t23.8857142857143t0.00726141078838174t21.8719965986705t0.400817877046461
dapB (g_00438)t40t35.6571428571429t0.00836920133907221t35.9772580963397t0.853701158355655
hom (g_03176)t39t35.5714285714286t0.00868701911144204t32.2684711225353t0.840576037230753
murEF (g_16221)t32t28.0571428571429t0.00781075652756081t39.6028966868246t0.650870390080831
argD (g_21195)t34t30.5714285714286t0.00775881179339393t21.1005264156592t0.685778651301622
dapA (g_47987)t31t27.4571428571429t0.00763525305410122t31.5095335318353t0.640303370445724
copA, ctpA, ATP7 (g_38705)t26t23.8857142857143t0.00726141078838174t21.8719965986705t0.400817877046461
E6.5.1.2, ligA, ligB (g_14457)t38t33.8285714285714t0.00779683671196258t45.1490066065663t0.57597124607219
mutS (g_50943)t26t22.7428571428572t0.00698463380562762t36.2763069748t0.232782563031724
uvrD, pcrA (g_51000)t20t17.3714285714286t0.00682926829268293t15.3366187506272t0.159616449334937
mrp, NUBPL (g_12493)t34t30.6285714285714t0.00761531766753699t20.1708069229867t0.681401983399771
gatA, QRSL1 (g_15019)t34t30.6285714285714t0.00761531766753699t20.1708069229867t0.681401983399771
SAM50, TOB55, bamA (g_15716)t34t30.6285714285714t0.00761531766753699t20.1708069229867t0.681401983399771
LARS, leuS (g_16779)t45t40.4285714285714t0.00835721107927412t22.4605253979639t0.999999999999999
tuf, TUFM (g_50706)t15t12.8285714285714t0.00644567219152855t29t0.163360895694469
gabD (g_10281)t40t35.6571428571429t0.00836920133907221t35.9772580963397t0.853701158355655
ppnK, NADK (g_24670)t34t30.6285714285714t0.00761531766753699t20.1708069229867t0.681401983399771
nadD (g_32901)t24t20.7428571428571t0.00737929580434324t47.8241662596447t0.30886114234686
pncC (g_35739)t39t35.4t0.00812441968430827t21.3673890550113t0.840211081718828
pncB, NAPRT1 (g_38047)t34t30.6285714285714t0.00761531766753699t20.1708069229867t0.681401983399771
gabD (g_48049)t22t19.4285714285714t0.00732064421669107t49.1306332814816t0.311147653111687
IDH1, IDH2, icd (g_34655)t27t23.8t0.00756756756756757t54.8912500539017t0.340406670966938
rne (g_00204)t31t27.4571428571429t0.00763525305410122t31.5095335318353t0.640303370445724
rlmI (g_06016)t24t21.3714285714286t0.00723589001447178t13.8895963648479t0.24671042959342
rsmB, sun (g_10137)t35t31.9714285714286t0.00828206341694273t36.1392140242397t0.753638400537806
rluB (g_34744)t24t20.7428571428571t0.00737929580434324t47.8241662596447t0.30886114234686
rlmI (g_37985)t26t22.7428571428572t0.00698463380562762t36.2763069748t0.232782563031724
tatC (g_07029)t26t23.6t0.00740584003385527t34.3265523522356t0.385281066112858
lapB (g_13632)t26t23.6t0.00740584003385527t34.3265523522356t0.385281066112858
tolC, bepC, cyaE, raxC, sapF, rsaF, hasF (g_23577)t45t40.4285714285714t0.00835721107927412t22.4605253979639t1
yggT (g_26647)t45t40.4285714285714t0.00835721107927412t22.4605253979639t0.999999999999999
lapE (g_39669)t28t24.9142857142857t0.00763358778625954t80.6215074869592t0.401499376316898
