"Definition","White1mean","White2mean","White3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_White","Blue"
"ethylmalonyl-CoA mutase [EC:5.4.99.63]",112.476,100.134,116.006,26.982,31.496,40.016,0.000315884484694335,0.299723689656012,32.8313333333333
"exodeoxyribonuclease III [EC:3.1.11.2]",229.301,233.418,253.916,55.583,32.356,70.456,0.00032809786062446,0.221026045336887,52.7983333333333
"ferredoxin",7621.85,7133.629,7862.995,1443.2,1052.139,1807.495,3.72827989236926e-05,0.190235380158715,1434.278
"ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]",4397.839,4288.114,4611.947,947.577,787.204,963.271,3.59063093165559e-05,0.202893088382376,899.350666666667
"formimidoylglutamate deiminase [EC:3.5.3.13]",388.071,351.921,360.979,17.454,36.168,28.682,0.000115187956108229,0.0747558291726122,27.4346666666667
"fumarate hydratase, class II [EC:4.2.1.2]",165.5205,190.1385,173.339,48.7915,53.0775,41.978,0.00081273721803984,0.271923523340353,47.949
"glutamate synthase (NADPH) large chain [EC:1.4.1.13]",263.423,255.352,277.659666666667,17.76,15.4106666666667,29.4046666666667,2.20489438257805e-05,0.0785693239537539,20.8584444444444
"GntR family transcriptional regulator, histidine utilization repressor",311.332,319.173,364.033,118.541,80.424,137.29,0.000726423884016012,0.338101711548478,112.085
"integrase/recombinase XerC",127.3435,134.734,112.6305,34.85,43.3965,22.599,0.000516176862407202,0.269130896591479,33.6151666666667
"iron complex transport system substrate-binding protein",129.788,118.2435,132.3605,30.9115,27.974,38.4245,0.000119433234845122,0.255815053944352,32.4366666666667
"large subunit ribosomal protein L32",260.363,253.291,281.563,127.568,104.458,123.79,0.00022659284493329,0.447445162766893,118.605333333333
"peptidoglycan-associated lipoprotein",93.2833333333333,102.847666666667,99.042,34.8413333333333,21.5473333333333,33.7326666666667,0.000426909809702418,0.305316994892261,30.0404444444444
"phosphoadenosine phosphosulfate reductase [EC:1.8.4.8 1.8.4.10]",1714.46,1628.42,1784.726,271.331,238.762,296.3985,0.00026794710740461,0.157284218015191,268.8305
"phosphogluconate dehydratase [EC:4.2.1.12]",1066.831,1099.035,1078.927,84.584,119.73,118.123,5.0847734381146e-07,0.0993705915908966,107.479
"phosphoribosylformylglycinamidine synthase subunit PurL [EC:6.3.5.3]",188.248,196.276,201.955,46.772,45.14,43.016,0.000316178201425054,0.230064503588364,44.976
"PKHD-type hydroxylase [EC:1.14.11.-]",630.711,676.167,644.369,97.866,43.141,119.547,0.000132445596300299,0.133532043867332,86.8513333333333
"pyruvate, orthophosphate dikinase [EC:2.7.9.1]",105.686,98.12,101.06,30.887,41.955,36.682,0.000165214714388771,0.359252917675307,36.508
"repressor LexA [EC:3.4.21.88]",773.761,739.499,826.072,74.005,49.533,74.774,0.000455716754626113,0.084772918080888,66.104
"ribulose-bisphosphate carboxylase large chain [EC:4.1.1.39]",160.8285,178.6805,176.475,51.061,45.756,58.789,0.00014798648702889,0.301571366554002,51.8686666666667
"ring-1,2-phenylacetyl-CoA epoxidase subunit PaaA [EC:1.14.13.149]",291.52,296.115,308.583,23.077,27.893,41.107,3.61253488465817e-06,0.102739512038366,30.6923333333333
"serine-type D-Ala-D-Ala carboxypeptidase (penicillin-binding protein 5/6) [EC:3.4.16.4]",245.637,233.159,252.316,51.094,44.094,66.562,3.23330766959539e-05,0.221238332840933,53.9166666666667
"sigma-54 dependent transcriptional regulator, acetoin dehydrogenase operon transcriptional activator AcoR",82.518,98.398,92.056,24.012,36.33,27.046,0.000597869734075679,0.32013539850241,29.1293333333333
"small subunit ribosomal protein S10",493.9115,556.5905,506.706,130.5555,95.649,146.4795,0.000121695797133428,0.239328336355837,124.228
"small subunit ribosomal protein S8",251.588,257.657,244.904,50.744,33.82,54.031,5.5153043437679e-05,0.183776680735505,46.1983333333333
"soluble lytic murein transglycosylase [EC:4.2.2.-]",73.7,86.631,77.067,23.678,32.565,28.682,0.000817060874592198,0.357732584099276,28.3083333333333
"transaldolase [EC:2.2.1.2]",341.426,341.121,360.901,54.999,52.694,77.35,1.29742606109818e-05,0.177338017802516,61.681
"transketolase [EC:2.2.1.1]",255.8855,239.892,236.2655,22.2095,23.523,22.22,0.000699867769582102,0.0928258312694746,22.6508333333333
"two-component system, LytTR family, sensor kinase [EC:2.7.13.3]",236.767,244.639,241.676,34.408,39.445,28.591,1.98058434311345e-06,0.141676877587881,34.148
"uncharacterized protein",140.7511,151.1559,139.6331,53.49705,54.40145,57.4825,0.000671510362914842,0.383234373816014,55.127
"UTP--glucose-1-phosphate uridylyltransferase [EC:2.7.7.9]",434.381,412.622,480.943,64.911,49.091,82.259,0.000591619071993409,0.14779290724171,65.4203333333333
