"Definition","White1mean","White2mean","White3mean","Blue1mean","Blue2mean","Blue3mean","pvalue_Blue","Blue_vs_White","Blue"
"ArsR family transcriptional regulator, arsenate/arsenite/antimonite-responsive transcriptional repressor",21.944,15.748,23.845,0,0,0,0.0139071124238635,0.428240354100551,34.185
"aspartate kinase [EC:2.7.2.4]",10.916,15.184,13.345,0,0,0.273,0.00856482144853582,0.269538253508364,25.3818333333333
"ATP-binding protein involved in chromosome partitioning",13.468,11.918,12.997,0,0.302,0.288,0.000857065579981066,0.343994819782566,122.009
"ATP-dependent RNA helicase RhlE [EC:3.6.4.13]",15.017,20.213,13.136,0,0,0,0.0167989863056658,0.383620595902819,20.5768333333333
"benzoyl-CoA 2,3-epoxidase subunit B [EC:1.14.13.208]",8.656,9.467,9.474,3.004,5.114,1.212,0.0271390401519965,0.415411632618992,84.6063333333333
"bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase [EC:2.7.7.23 2.3.1.157]",21.13,20.168,21.948,3.321,3.766,6.106,0.000291752516332221,0.243310692164801,43.093
"carbamoyl-phosphate synthase small subunit [EC:6.3.5.5]",51.242,46.841,54.197,11.313,10.274,14.015,0.000504780619411756,0.306692393011366,50.9703333333333
"chemotaxis protein MotB",63.426,76.691,69.212,14.667,21.291,15.667,0.00110619330099517,0.259422960638083,24.0253333333333
"cold shock protein",39.721,38.6956666666667,46.9996666666667,11.4303333333333,17.8203333333333,5.788,0.00298370136858138,0.196709680136589,20.239
"cysteine-S-conjugate beta-lyase [EC:4.4.1.13]",23.879,21.027,30.448,6.074,5.927,7.818,0.018209819865265,0.244438522125264,22.6243333333333
"D-sedoheptulose 7-phosphate isomerase [EC:5.3.1.28]",11.79,17.457,13.841,0.634,4.416,0.409,0.00473985639921301,0.374829798259564,34.961
"elongation factor G",69.1535,83.245,73.9445,0.359,2.522,0.424,0.00244536413484863,0.375436709023746,43.737
"enoyl-[acyl-carrier protein] reductase I [EC:1.3.1.9 1.3.1.10]",20.20125,24.16575,23.3535,1.0305,0.988,0,0.00167696572611556,0.327443449030055,20.261
"FdhE protein",59.4105,48.774,52.731,16.62,22.3375,22.773,0.00175079876720227,0.394133983437425,31.364
"ferredoxin/flavodoxin---NADP+ reductase [EC:1.18.1.2 1.19.1.1]",24.487,31.147,26.316,0,2.51,0,0.00194375628263321,0.317526439990907,33.0556666666667
"flagellar hook-basal body complex protein FliE",28.768,36.381,40.696,0,0,0.667,0.00952487388920988,0.330346918868485,41.5426666666667
"flagellar protein FlaG",55.831,64.871,64.01,0,1.813,0,0.00153581355959517,0.459572448647604,62.6233333333333
"formylglycine-generating enzyme [EC:1.8.3.7]",42.449,50.85,44.036,0,0.349,0.227,0.00314082731677582,0.21195944080516,56.3006666666667
"heat shock protein HtpX [EC:3.4.24.-]",136.791,135.128,151.682,26.331,29.985,36.425,0.000268062586815005,0.488860245804655,32.3646666666667
"HemY protein",69.847,52.738,55.589,35.158,30.008,45.47,0.0331212526792895,0.319848639760522,30.345
"hydrogenase small subunit [EC:1.12.99.6]",205.885,250.365,230.915,0,0.628,0.409,0.00314841421040427,0.422061653236267,290.959666666667
"hydroxymethylglutaryl-CoA reductase [EC:1.1.1.88]",14.598,15.972,17.416,0,1.395,1.091,0.000472475792587191,0.248433274232161,20.2703333333333
"imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]",10.728,12.715,11.205,0.317,0,0.273,0.00222182330787635,0.247946683185765,23.215
"indolepyruvate ferredoxin oxidoreductase [EC:1.2.7.8]",15.343,12.894,19.687,0,0,0,0.0151101693621299,0.375308757204335,37.53
"L-lysine 6-transaminase [EC:2.6.1.36]",24.958,31.147,28.708,1.919,0.488,0.348,0.00250381712683166,0.384726397095194,94.3713333333333
"large subunit ribosomal protein L4",14.17,13.413,15.676,0,0,0,0.0021206543422842,0.458610352764841,28.5576666666667
"membrane fusion protein, multidrug efflux system",16.081,17.00275,17.22225,1.681,4.63725,1.85625,0.00192960512673524,0.335226853559572,59.072
"methionyl aminopeptidase [EC:3.4.11.18]",12.941,12.589,13.2015,0,0.8715,0.182,9.53550217823366e-06,0.11229705959797,45.3493333333333
"octaprenyl-diphosphate synthase [EC:2.5.1.90]",11.927,13.055,9.743,0,0,0,0.00698014563115271,0.307513896457766,23.512
"outer membrane protein assembly factor BamC",17.808,19.989,19.478,0,0.465,0,0.000710063823082751,0.325201100987902,25.402
"outer membrane protein insertion porin family",52.2355,51.1405,56.0105,10.471,6.183,12.2275,6.2806083807518e-05,0.237655601398935,31.5076666666667
"peptidyl-prolyl cis-trans isomerase B (cyclophilin B) [EC:5.2.1.8]",9.546,10.934,9.36,0,0,0,0.00248313297592759,0.129824591397114,25.3123333333333
"phosphoglycerate kinase [EC:2.7.2.3]",45.6125,41.052,47.938,12.565,11.8195,16.023,0.000498615026888048,0.236826580285564,21.8113333333333
"phospholipid/cholesterol/gamma-HCH transport system permease protein",60.352,46.081,43.862,19.623,23.081,23.819,0.0267157841885932,0.306878725456487,33.6186666666667
"precorrin-3B synthase [EC:1.14.13.83]",128.033,107.605,81.6,31.17,42.025,38.879,0.0307489506544924,0.301941889326909,37.9133333333333
"protease IV [EC:3.4.21.-]",10.385,9.601,10.083,0,0.418,0.197,3.61471615459153e-05,0.442616188163279,22.1743333333333
"putative salt-induced outer membrane protein",1413.428,1492.849,1426.292,321.215,144.926,316.217,0.000611996953922965,0.167742914595743,22.106
"putative transcriptional regulator",15.411,16.276,16.207,0,0,0,0.00030210837591432,0.353280502335786,37.358
"putative transposase",93.93775,82.672,92.87825,24.1955,19.72825,32.07225,0.000223624621594047,0.45726435467951,71.8841666666667
"putative tricarboxylic transport membrane protein",36.233,57.632,51.483,0,0,0,0.0168035497182359,0.218133190345743,67.2593333333333
"pyruvate, water dikinase [EC:2.7.9.2]",31.747,40.005,37.007,0,2.603,0.848,0.0023938700843621,0.326638868221453,40.682
"raffinose/stachyose/melibiose transport system substrate-binding protein",55.848,51.583,57.329,7.709,3.091,10.818,0.000113140137425552,0.458431636479281,20.6616666666667
"ribonuclease G [EC:3.1.26.-]",11.1215,13.0275,9.83,0.292,2.0685,0.3105,0.00148472059901916,0.180576004675286,260.786
"ribonucleoside-diphosphate reductase alpha chain [EC:1.17.4.1]",18.352,22.7585,23.5795,3.12,5.2995,3.947,0.00381797458714669,0.282001424924301,25.332
"RNA-directed DNA polymerase [EC:2.7.7.49]",46.499,56.182,50.621,0.501,2.394,0.652,0.00218884367141519,0.257851988235833,63.768
"small subunit ribosomal protein S1",85.472,99.346,90.108,0.367,1.116,0,0.00188485431072008,0.461484073255426,46.5586666666667
"topoisomerase IV subunit B [EC:5.6.2.2]",10.3,13.887,11.353,0,0,0,0.00797756387463691,0.112173147127071,47.8423333333333
"transcription termination factor Rho",25.386,34.726,25.489,0,0,0,0.0115713539026065,0.385814689587903,33.3576666666667
"transcription termination/antitermination protein NusA",10.317,11.462,10.196,0,0,0,0.00142906121303633,0.198422141912291,20.9003333333333
"transketolase [EC:2.2.1.1]",49.701,47.7405,44.689,18.6805,12.0755,21.4855,0.00240068236171939,0.350879304133758,458.758666666667
"twitching motility two-component system response regulator PilG",17.62,19.9,15.372,0,0,0,0.00545178216141979,0.197787106414543,24.5316666666667
"uncharacterized protein",50.7577894736842,48.1266842105263,50.3503684210526,14.3038947368421,13.0067368421053,16.8207894736842,3.04763412124018e-05,0.449498121398429,67.9933333333333
"urease accessory protein",92.895,78.4,63.07,15.285,17.712,13.788,0.017067130440655,0.408588968581641,28.9963333333333
"zinc and cadmium transporter",29.273,25.877,27.081,0,0,0,0.0013126623074142,0.119116543603488,54.3976666666667
