id,Cmax,pos,Ymax,pos,Smax,pos,Smean,D,?,Dmaxcut,Networks-used
g_00041,0.108,36,0.112,26,0.131,11,0.114,0.113,N,0.45,SignalP-noTM
g_00042,0.11,66,0.111,49,0.122,43,0.108,0.109,N,0.45,SignalP-noTM
g_00043,0.11,56,0.104,11,0.111,67,0.1,0.102,N,0.45,SignalP-noTM
g_00044,0.175,48,0.242,11,0.769,5,0.577,0.376,N,0.5,SignalP-TM
g_00045,0.112,24,0.106,37,0.112,23,0.099,0.102,N,0.45,SignalP-noTM
g_00046,0.243,46,0.17,30,0.365,1,0.137,0.152,N,0.45,SignalP-noTM
g_00047,0.176,52,0.149,18,0.244,6,0.174,0.163,N,0.45,SignalP-noTM
g_00048,0.162,33,0.155,33,0.237,10,0.154,0.155,N,0.45,SignalP-noTM
g_00049,0.221,23,0.431,23,0.898,20,0.84,0.652,Y,0.45,SignalP-noTM
g_00050,0.111,61,0.105,70,0.12,3,0.097,0.101,N,0.45,SignalP-noTM
g_00051,0.117,18,0.111,18,0.12,12,0.106,0.108,N,0.45,SignalP-noTM
g_00052,0.332,27,0.516,27,0.842,14,0.747,0.608,Y,0.5,SignalP-TM
g_00053,0.123,68,0.138,17,0.269,13,0.172,0.156,N,0.45,SignalP-noTM
g_00054,0.119,17,0.114,17,0.126,14,0.107,0.11,N,0.45,SignalP-noTM
g_00055,0.11,53,0.11,53,0.121,36,0.103,0.106,N,0.45,SignalP-noTM
g_00056,0.169,20,0.12,20,0.113,19,0.086,0.101,N,0.45,SignalP-noTM
g_00057,0.142,32,0.146,11,0.244,1,0.173,0.16,N,0.45,SignalP-noTM
g_00058,0.171,53,0.13,53,0.166,11,0.112,0.12,N,0.45,SignalP-noTM
g_00059,0.119,27,0.13,20,0.203,15,0.152,0.142,N,0.45,SignalP-noTM
g_00060,0.124,34,0.106,34,0.116,33,0.093,0.099,N,0.45,SignalP-noTM
g_00061,0.114,70,0.107,49,0.114,43,0.099,0.103,N,0.45,SignalP-noTM
g_00062,0.2,27,0.236,27,0.384,8,0.301,0.262,N,0.5,SignalP-TM
g_00063,0.111,67,0.105,41,0.122,18,0.099,0.102,N,0.45,SignalP-noTM
g_00064,0.22,39,0.224,29,0.409,26,0.288,0.259,N,0.45,SignalP-noTM
g_00065,0.11,47,0.104,55,0.114,49,0.097,0.1,N,0.45,SignalP-noTM
g_00066,0.284,35,0.228,35,0.285,13,0.191,0.208,N,0.45,SignalP-noTM
g_00067,0.149,52,0.131,52,0.162,33,0.108,0.119,N,0.45,SignalP-noTM
g_00068,0.162,27,0.165,27,0.353,22,0.179,0.173,N,0.45,SignalP-noTM
g_00069,0.136,25,0.112,25,0.116,23,0.093,0.102,N,0.45,SignalP-noTM
g_00070,0.272,17,0.198,17,0.255,16,0.151,0.179,N,0.5,SignalP-TM
g_00071,0.11,70,0.106,70,0.111,61,0.097,0.101,N,0.45,SignalP-noTM
g_00072,0.116,26,0.114,25,0.134,1,0.113,0.114,N,0.45,SignalP-noTM
g_00073,0.149,22,0.152,11,0.27,1,0.157,0.155,N,0.45,SignalP-noTM
g_00074,0.761,29,0.86,29,0.992,19,0.954,0.911,Y,0.45,SignalP-noTM
g_00075,0.119,17,0.116,46,0.173,35,0.113,0.114,N,0.45,SignalP-noTM
g_00076,0.114,56,0.106,56,0.114,37,0.096,0.1,N,0.45,SignalP-noTM
g_00077,0.111,25,0.158,11,0.288,11,0.231,0.187,N,0.5,SignalP-TM
g_00078,0.119,26,0.112,26,0.151,48,0.106,0.108,N,0.45,SignalP-noTM
g_00079,0.107,66,0.112,38,0.144,17,0.109,0.11,N,0.45,SignalP-noTM
g_00080,0.144,50,0.118,50,0.128,49,0.097,0.107,N,0.45,SignalP-noTM
g_00081,0.326,23,0.254,23,0.407,21,0.23,0.244,N,0.5,SignalP-TM
g_00082,0.369,42,0.228,42,0.357,6,0.187,0.211,N,0.5,SignalP-TM
g_00083,0.107,64,0.106,32,0.122,20,0.104,0.105,N,0.45,SignalP-noTM
g_00084,0.128,35,0.113,35,0.112,52,0.096,0.104,N,0.45,SignalP-noTM
g_00085,0.126,29,0.177,12,0.39,9,0.29,0.238,N,0.45,SignalP-noTM
g_00086,0.11,16,0.117,16,0.168,4,0.122,0.12,N,0.45,SignalP-noTM
g_00087,0.109,67,0.105,42,0.117,22,0.1,0.103,N,0.45,SignalP-noTM
g_00088,0.116,58,0.129,38,0.219,34,0.135,0.131,N,0.5,SignalP-TM
g_00089,0.135,20,0.132,20,0.149,3,0.126,0.129,N,0.45,SignalP-noTM
g_00090,0.14,33,0.119,33,0.122,32,0.097,0.107,N,0.45,SignalP-noTM
g_00091,0.184,37,0.15,37,0.177,33,0.126,0.137,N,0.45,SignalP-noTM
g_00092,0.121,24,0.117,11,0.15,1,0.115,0.116,N,0.45,SignalP-noTM
g_00093,0.133,58,0.117,58,0.126,1,0.104,0.11,N,0.45,SignalP-noTM
g_00094,0.107,44,0.108,41,0.123,26,0.102,0.104,N,0.45,SignalP-noTM
g_00095,0.116,31,0.108,31,0.121,24,0.1,0.104,N,0.45,SignalP-noTM
g_00096,0.149,23,0.13,23,0.187,30,0.113,0.121,N,0.45,SignalP-noTM
g_00097,0.108,43,0.113,17,0.15,47,0.123,0.118,N,0.45,SignalP-noTM
g_00098,0.108,45,0.103,41,0.107,22,0.094,0.098,N,0.45,SignalP-noTM
g_00099,0.115,24,0.104,24,0.108,29,0.095,0.099,N,0.45,SignalP-noTM
g_00100,0.135,56,0.118,56,0.124,53,0.1,0.108,N,0.45,SignalP-noTM
g_00101,0.378,27,0.44,27,0.722,26,0.483,0.463,Y,0.45,SignalP-noTM
g_00102,0.158,22,0.158,22,0.337,18,0.158,0.158,N,0.45,SignalP-noTM
g_00103,0.116,33,0.109,33,0.127,30,0.102,0.105,N,0.45,SignalP-noTM
g_00104,0.259,27,0.182,27,0.217,23,0.135,0.157,N,0.45,SignalP-noTM
g_00105,0.108,36,0.102,36,0.111,20,0.09,0.095,N,0.45,SignalP-noTM
g_00106,0.111,22,0.11,44,0.168,38,0.103,0.106,N,0.45,SignalP-noTM
g_00107,0.278,27,0.182,27,0.196,26,0.12,0.148,N,0.45,SignalP-noTM
g_00108,0.117,23,0.109,30,0.129,28,0.103,0.105,N,0.45,SignalP-noTM
g_00109,0.121,32,0.178,11,0.37,6,0.259,0.221,N,0.45,SignalP-noTM
g_00110,0.122,40,0.117,40,0.16,37,0.118,0.117,N,0.45,SignalP-noTM
g_00111,0.113,25,0.119,13,0.155,24,0.123,0.121,N,0.45,SignalP-noTM
g_00112,0.204,42,0.165,42,0.304,40,0.149,0.157,N,0.45,SignalP-noTM
g_00113,0.11,17,0.109,17,0.166,10,0.112,0.111,N,0.45,SignalP-noTM
g_00114,0.148,18,0.137,18,0.173,16,0.128,0.132,N,0.45,SignalP-noTM
g_00115,0.113,29,0.107,44,0.137,28,0.099,0.103,N,0.45,SignalP-noTM
g_00116,0.822,19,0.853,19,0.927,15,0.892,0.874,Y,0.45,SignalP-noTM
g_00117,0.133,20,0.111,20,0.115,34,0.093,0.101,N,0.45,SignalP-noTM
g_00118,0.118,25,0.114,25,0.182,12,0.109,0.112,N,0.45,SignalP-noTM
g_00119,0.13,32,0.15,16,0.381,4,0.21,0.174,N,0.5,SignalP-TM
g_00120,0.127,43,0.124,43,0.144,41,0.108,0.116,N,0.45,SignalP-noTM
g_00121,0.111,59,0.107,59,0.115,3,0.097,0.101,N,0.45,SignalP-noTM
g_00122,0.111,20,0.107,20,0.124,14,0.102,0.105,N,0.45,SignalP-noTM
g_00123,0.276,67,0.153,18,0.164,65,0.126,0.142,N,0.5,SignalP-TM
g_00124,0.147,33,0.138,33,0.174,5,0.139,0.138,N,0.45,SignalP-noTM
g_00125,0.113,43,0.12,11,0.152,1,0.126,0.124,N,0.45,SignalP-noTM
g_00126,0.171,52,0.136,52,0.148,47,0.106,0.119,N,0.45,SignalP-noTM
g_00127,0.199,28,0.167,28,0.21,8,0.149,0.158,N,0.45,SignalP-noTM
g_00128,0.108,39,0.105,39,0.111,34,0.096,0.1,N,0.45,SignalP-noTM
g_00129,0.147,62,0.118,62,0.112,23,0.094,0.105,N,0.45,SignalP-noTM
g_00130,0.125,59,0.187,49,0.534,48,0.219,0.204,N,0.45,SignalP-noTM
g_00131,0.108,63,0.111,14,0.137,11,0.121,0.116,N,0.45,SignalP-noTM
g_00132,0.112,46,0.103,70,0.113,54,0.094,0.098,N,0.45,SignalP-noTM
g_00133,0.11,63,0.108,63,0.125,49,0.101,0.104,N,0.45,SignalP-noTM
g_00134,0.113,62,0.121,12,0.158,38,0.126,0.124,N,0.45,SignalP-noTM
g_00135,0.117,34,0.116,13,0.149,12,0.126,0.122,N,0.45,SignalP-noTM
g_00136,0.114,11,0.114,26,0.152,8,0.115,0.115,N,0.45,SignalP-noTM
g_00137,0.143,29,0.144,12,0.263,2,0.178,0.162,N,0.45,SignalP-noTM
g_00138,0.172,26,0.274,14,0.805,9,0.718,0.452,N,0.5,SignalP-TM
g_00139,0.124,27,0.129,11,0.185,1,0.14,0.135,N,0.45,SignalP-noTM
g_00140,0.138,33,0.235,11,0.636,15,0.516,0.347,N,0.5,SignalP-TM
g_00141,0.114,15,0.129,15,0.245,14,0.146,0.136,N,0.5,SignalP-TM
g_00142,0.163,29,0.125,29,0.13,36,0.098,0.111,N,0.45,SignalP-noTM
g_00143,0.108,44,0.105,11,0.123,1,0.092,0.098,N,0.45,SignalP-noTM
g_00144,0.111,53,0.122,13,0.17,1,0.118,0.119,N,0.45,SignalP-noTM
g_00145,0.127,20,0.105,20,0.108,22,0.086,0.095,N,0.45,SignalP-noTM
g_00146,0.109,46,0.108,23,0.118,4,0.108,0.108,N,0.45,SignalP-noTM
g_00147,0.107,47,0.109,47,0.134,35,0.099,0.104,N,0.45,SignalP-noTM
g_00148,0.123,25,0.129,25,0.166,15,0.136,0.133,N,0.45,SignalP-noTM
g_00149,0.112,60,0.106,60,0.111,44,0.098,0.102,N,0.45,SignalP-noTM
g_00150,0.196,42,0.124,30,0.195,58,0.121,0.123,N,0.5,SignalP-TM
g_00151,0.174,21,0.168,21,0.21,1,0.157,0.162,N,0.45,SignalP-noTM
g_00152,0.108,45,0.108,45,0.129,43,0.107,0.107,N,0.45,SignalP-noTM
g_00153,0.108,22,0.11,22,0.136,3,0.112,0.111,N,0.45,SignalP-noTM
g_00154,0.321,20,0.219,20,0.235,3,0.143,0.178,N,0.45,SignalP-noTM
g_00155,0.107,30,0.107,53,0.121,45,0.103,0.105,N,0.45,SignalP-noTM
g_00156,0.117,24,0.117,14,0.15,23,0.112,0.114,N,0.45,SignalP-noTM
g_00157,0.109,52,0.106,52,0.115,52,0.098,0.102,N,0.45,SignalP-noTM
g_00158,0.174,34,0.157,34,0.307,1,0.138,0.15,N,0.5,SignalP-TM
g_00159,0.128,16,0.244,16,0.547,13,0.464,0.363,N,0.45,SignalP-noTM
g_00160,0.108,39,0.104,59,0.106,45,0.092,0.098,N,0.45,SignalP-noTM
g_00161,0.109,55,0.149,12,0.337,2,0.185,0.168,N,0.45,SignalP-noTM
g_00162,0.111,52,0.109,11,0.123,1,0.109,0.109,N,0.45,SignalP-noTM
g_00163,0.295,43,0.192,43,0.259,34,0.119,0.153,N,0.45,SignalP-noTM
g_00164,0.236,23,0.34,23,0.78,6,0.574,0.434,N,0.5,SignalP-TM
g_00165,0.155,24,0.119,24,0.12,1,0.092,0.105,N,0.45,SignalP-noTM
g_00166,0.175,42,0.153,42,0.237,13,0.154,0.154,N,0.45,SignalP-noTM
g_00167,0.112,40,0.14,40,0.214,28,0.134,0.138,N,0.5,SignalP-TM
g_00168,0.109,26,0.123,12,0.186,2,0.121,0.122,N,0.45,SignalP-noTM
g_00169,0.521,24,0.322,24,0.374,20,0.2,0.256,N,0.45,SignalP-noTM
g_00170,0.127,43,0.125,43,0.187,38,0.11,0.117,N,0.45,SignalP-noTM
g_00171,0.353,38,0.203,30,0.221,19,0.148,0.181,N,0.5,SignalP-TM
g_00172,0.419,30,0.27,30,0.37,25,0.173,0.218,N,0.45,SignalP-noTM
g_00173,0.559,32,0.293,18,0.612,1,0.35,0.316,N,0.5,SignalP-TM
g_00174,0.341,31,0.363,31,0.59,10,0.381,0.373,N,0.45,SignalP-noTM
g_00175,0.282,30,0.242,22,0.436,5,0.288,0.267,N,0.45,SignalP-noTM
g_00176,0.108,28,0.104,28,0.11,9,0.098,0.101,N,0.45,SignalP-noTM
g_00177,0.144,22,0.174,11,0.386,1,0.198,0.187,N,0.45,SignalP-noTM
g_00178,0.129,18,0.11,38,0.124,21,0.098,0.104,N,0.45,SignalP-noTM
g_00179,0.118,32,0.112,32,0.181,54,0.102,0.108,N,0.5,SignalP-TM
g_00180,0.12,26,0.181,11,0.349,1,0.259,0.223,N,0.45,SignalP-noTM
g_00181,0.121,56,0.115,56,0.138,1,0.104,0.109,N,0.45,SignalP-noTM
g_00182,0.112,63,0.108,12,0.119,1,0.103,0.105,N,0.45,SignalP-noTM
g_00183,0.111,48,0.114,15,0.145,7,0.122,0.118,N,0.45,SignalP-noTM
g_00184,0.133,19,0.14,19,0.186,14,0.148,0.144,N,0.45,SignalP-noTM
g_00185,0.125,60,0.128,25,0.167,2,0.135,0.132,N,0.45,SignalP-noTM
g_00186,0.108,57,0.106,11,0.128,1,0.092,0.099,N,0.45,SignalP-noTM
g_00187,0.12,25,0.162,12,0.292,1,0.199,0.182,N,0.45,SignalP-noTM
g_00188,0.239,21,0.433,21,0.898,13,0.79,0.626,Y,0.45,SignalP-noTM
g_00189,0.107,8,0.105,69,0.122,23,0.101,0.103,N,0.45,SignalP-noTM
g_00190,0.185,48,0.148,48,0.239,46,0.108,0.126,N,0.45,SignalP-noTM
g_00191,0.204,21,0.16,21,0.195,37,0.124,0.141,N,0.45,SignalP-noTM
g_00192,0.121,31,0.112,31,0.159,30,0.108,0.11,N,0.45,SignalP-noTM
g_00193,0.309,23,0.197,23,0.178,18,0.125,0.158,N,0.45,SignalP-noTM
g_00194,0.178,17,0.309,17,0.698,6,0.551,0.44,N,0.45,SignalP-noTM
g_00195,0.171,70,0.174,11,0.347,7,0.256,0.218,N,0.45,SignalP-noTM
g_00196,0.191,20,0.173,20,0.189,17,0.157,0.164,N,0.45,SignalP-noTM
g_00197,0.156,19,0.156,19,0.205,15,0.151,0.153,N,0.45,SignalP-noTM
g_00198,0.108,61,0.106,54,0.117,46,0.101,0.104,N,0.45,SignalP-noTM
g_00199,0.125,32,0.13,11,0.228,4,0.166,0.15,N,0.45,SignalP-noTM
g_00200,0.11,34,0.104,34,0.106,9,0.097,0.1,N,0.45,SignalP-noTM
g_00201,0.131,49,0.122,34,0.202,30,0.117,0.12,N,0.5,SignalP-TM
g_00202,0.154,24,0.138,24,0.172,23,0.123,0.13,N,0.45,SignalP-noTM
g_00203,0.126,23,0.141,23,0.202,21,0.158,0.15,N,0.45,SignalP-noTM
g_00204,0.11,54,0.109,12,0.126,1,0.108,0.109,N,0.45,SignalP-noTM
g_00205,0.164,32,0.15,12,0.239,1,0.192,0.173,N,0.45,SignalP-noTM
g_00206,0.111,61,0.103,47,0.107,28,0.096,0.099,N,0.45,SignalP-noTM
g_00207,0.142,19,0.131,19,0.143,16,0.121,0.125,N,0.45,SignalP-noTM
g_00208,0.117,49,0.106,49,0.12,55,0.096,0.101,N,0.45,SignalP-noTM
g_00209,0.11,43,0.105,43,0.115,27,0.097,0.101,N,0.45,SignalP-noTM
g_00210,0.119,24,0.127,24,0.179,7,0.135,0.131,N,0.45,SignalP-noTM
g_00211,0.377,25,0.307,25,0.557,1,0.335,0.318,N,0.5,SignalP-TM
g_00212,0.153,22,0.209,22,0.523,2,0.276,0.245,N,0.45,SignalP-noTM
g_00213,0.26,25,0.165,25,0.211,49,0.105,0.133,N,0.45,SignalP-noTM
g_00214,0.141,34,0.13,11,0.22,42,0.144,0.138,N,0.45,SignalP-noTM
g_00215,0.227,39,0.187,39,0.241,38,0.149,0.167,N,0.45,SignalP-noTM
g_00216,0.107,70,0.103,40,0.112,32,0.099,0.101,N,0.45,SignalP-noTM
g_00217,0.18,23,0.294,23,0.61,20,0.477,0.367,N,0.5,SignalP-TM
g_00218,0.352,25,0.568,25,0.972,14,0.915,0.755,Y,0.45,SignalP-noTM
g_00219,0.11,26,0.105,36,0.117,28,0.1,0.102,N,0.45,SignalP-noTM
g_00220,0.483,28,0.253,28,0.186,15,0.137,0.19,N,0.45,SignalP-noTM
g_00221,0.11,69,0.108,69,0.121,48,0.099,0.103,N,0.45,SignalP-noTM
g_00222,0.124,34,0.108,34,0.118,6,0.098,0.103,N,0.45,SignalP-noTM
g_00223,0.305,38,0.243,38,0.33,2,0.196,0.224,N,0.5,SignalP-TM
g_00224,0.11,43,0.106,60,0.144,46,0.101,0.103,N,0.45,SignalP-noTM
g_00225,0.107,35,0.115,12,0.151,2,0.12,0.118,N,0.45,SignalP-noTM
g_00226,0.118,19,0.111,47,0.117,36,0.1,0.105,N,0.45,SignalP-noTM
g_00227,0.148,47,0.134,47,0.2,44,0.13,0.132,N,0.45,SignalP-noTM
g_00228,0.399,19,0.556,19,0.839,12,0.762,0.667,Y,0.45,SignalP-noTM
g_00229,0.111,39,0.107,14,0.13,9,0.115,0.111,N,0.45,SignalP-noTM
g_00230,0.113,61,0.126,19,0.195,9,0.146,0.137,N,0.45,SignalP-noTM
g_00231,0.109,69,0.107,40,0.114,24,0.099,0.103,N,0.45,SignalP-noTM
g_00232,0.581,41,0.602,41,0.901,35,0.449,0.52,Y,0.45,SignalP-noTM
g_00233,0.805,27,0.881,27,0.994,16,0.962,0.925,Y,0.45,SignalP-noTM
g_00234,0.108,38,0.112,27,0.142,23,0.114,0.113,N,0.45,SignalP-noTM
g_00235,0.113,21,0.109,21,0.132,15,0.105,0.107,N,0.45,SignalP-noTM
g_00236,0.172,41,0.13,41,0.118,31,0.099,0.113,N,0.45,SignalP-noTM
g_00237,0.107,60,0.105,40,0.122,12,0.099,0.101,N,0.45,SignalP-noTM
g_00238,0.118,25,0.115,12,0.158,3,0.12,0.118,N,0.45,SignalP-noTM
g_00239,0.122,49,0.111,49,0.129,28,0.105,0.108,N,0.45,SignalP-noTM
g_00240,0.107,70,0.113,11,0.141,1,0.105,0.108,N,0.45,SignalP-noTM
g_00241,0.131,26,0.126,26,0.148,9,0.119,0.122,N,0.45,SignalP-noTM
g_00242,0.173,21,0.262,21,0.752,1,0.359,0.314,N,0.45,SignalP-noTM
g_00243,0.185,26,0.198,19,0.357,1,0.218,0.209,N,0.45,SignalP-noTM
g_00244,0.108,67,0.107,41,0.125,24,0.099,0.103,N,0.45,SignalP-noTM
g_00245,0.131,38,0.118,38,0.143,35,0.104,0.111,N,0.45,SignalP-noTM
g_00246,0.109,65,0.104,42,0.116,35,0.097,0.1,N,0.45,SignalP-noTM
g_00247,0.143,30,0.127,30,0.166,29,0.109,0.117,N,0.45,SignalP-noTM
g_00248,0.117,29,0.113,12,0.133,8,0.117,0.115,N,0.45,SignalP-noTM
g_00249,0.106,12,0.129,47,0.198,40,0.116,0.124,N,0.5,SignalP-TM
g_00250,0.108,8,0.104,70,0.125,5,0.095,0.099,N,0.45,SignalP-noTM
g_00251,0.13,67,0.109,67,0.151,61,0.088,0.101,N,0.5,SignalP-TM
g_00252,0.144,27,0.13,27,0.146,10,0.115,0.122,N,0.45,SignalP-noTM
g_00253,0.121,27,0.21,12,0.535,18,0.357,0.29,N,0.45,SignalP-noTM
g_00254,0.125,40,0.112,40,0.135,12,0.106,0.109,N,0.45,SignalP-noTM
g_00255,0.121,31,0.114,20,0.14,3,0.11,0.112,N,0.45,SignalP-noTM
g_00256,0.136,47,0.124,66,0.16,64,0.11,0.118,N,0.5,SignalP-TM
g_00257,0.195,24,0.175,24,0.266,2,0.161,0.168,N,0.45,SignalP-noTM
g_00258,0.111,42,0.108,11,0.118,2,0.102,0.105,N,0.45,SignalP-noTM
g_00259,0.109,37,0.107,37,0.113,50,0.102,0.104,N,0.45,SignalP-noTM
g_00260,0.134,23,0.131,40,0.359,36,0.139,0.136,N,0.45,SignalP-noTM
g_00261,0.424,25,0.336,25,0.539,4,0.277,0.304,N,0.45,SignalP-noTM
g_00262,0.114,15,0.105,69,0.112,47,0.098,0.101,N,0.45,SignalP-noTM
g_00263,0.236,35,0.229,35,0.384,14,0.236,0.233,N,0.45,SignalP-noTM
g_00264,0.112,57,0.106,57,0.109,35,0.096,0.1,N,0.45,SignalP-noTM
g_00265,0.114,63,0.109,20,0.127,4,0.107,0.108,N,0.45,SignalP-noTM
g_00266,0.339,32,0.269,32,0.424,2,0.238,0.252,N,0.45,SignalP-noTM
g_00267,0.62,23,0.687,23,0.897,4,0.761,0.727,Y,0.45,SignalP-noTM
g_00268,0.113,23,0.111,13,0.137,10,0.113,0.112,N,0.45,SignalP-noTM
g_00269,0.13,21,0.127,21,0.169,14,0.122,0.124,N,0.45,SignalP-noTM
g_00270,0.517,24,0.644,24,0.941,12,0.806,0.731,Y,0.45,SignalP-noTM
g_00271,0.122,27,0.125,15,0.198,5,0.147,0.137,N,0.45,SignalP-noTM
g_00272,0.109,68,0.105,41,0.112,32,0.098,0.101,N,0.45,SignalP-noTM
g_00273,0.106,31,0.105,64,0.12,47,0.097,0.101,N,0.45,SignalP-noTM
g_00274,0.131,29,0.125,29,0.188,33,0.123,0.124,N,0.45,SignalP-noTM
g_00275,0.114,31,0.135,11,0.186,2,0.161,0.149,N,0.45,SignalP-noTM
g_00276,0.109,20,0.11,26,0.131,8,0.111,0.11,N,0.45,SignalP-noTM
g_00277,0.111,24,0.111,24,0.137,8,0.111,0.111,N,0.45,SignalP-noTM
g_00278,0.243,23,0.305,23,0.75,5,0.485,0.377,N,0.5,SignalP-TM
g_00279,0.118,41,0.162,11,0.339,1,0.153,0.157,N,0.45,SignalP-noTM
g_00280,0.276,28,0.31,20,0.647,2,0.41,0.364,N,0.45,SignalP-noTM
g_00281,0.113,40,0.108,40,0.14,38,0.101,0.104,N,0.45,SignalP-noTM
g_00282,0.166,64,0.136,64,0.154,50,0.1,0.117,N,0.45,SignalP-noTM
g_00283,0.153,26,0.251,18,0.536,8,0.453,0.36,N,0.45,SignalP-noTM
g_00284,0.114,23,0.107,23,0.113,34,0.101,0.104,N,0.45,SignalP-noTM
g_00285,0.291,22,0.209,22,0.283,24,0.152,0.179,N,0.45,SignalP-noTM
g_00286,0.214,23,0.269,23,0.56,21,0.327,0.292,N,0.5,SignalP-TM
g_00287,0.166,42,0.144,42,0.181,3,0.134,0.139,N,0.45,SignalP-noTM
g_00288,0.118,52,0.114,36,0.162,67,0.097,0.107,N,0.5,SignalP-TM
g_00289,0.139,57,0.128,33,0.217,30,0.121,0.124,N,0.45,SignalP-noTM
g_00290,0.149,37,0.121,37,0.152,6,0.103,0.111,N,0.45,SignalP-noTM
g_00291,0.124,20,0.119,20,0.141,13,0.113,0.116,N,0.45,SignalP-noTM
g_00292,0.12,25,0.112,25,0.124,1,0.106,0.109,N,0.45,SignalP-noTM
g_00293,0.114,68,0.11,26,0.13,4,0.109,0.11,N,0.45,SignalP-noTM
g_00294,0.212,33,0.232,33,0.383,20,0.249,0.241,N,0.45,SignalP-noTM
g_00295,0.113,23,0.118,14,0.182,4,0.126,0.122,N,0.45,SignalP-noTM
g_00296,0.282,20,0.172,20,0.136,19,0.104,0.136,N,0.45,SignalP-noTM
g_00297,0.108,41,0.103,66,0.112,21,0.096,0.099,N,0.45,SignalP-noTM
g_00298,0.161,34,0.216,15,0.571,5,0.401,0.316,N,0.45,SignalP-noTM
g_00299,0.151,48,0.122,48,0.129,44,0.095,0.107,N,0.45,SignalP-noTM
g_00300,0.108,35,0.115,52,0.133,37,0.106,0.11,N,0.45,SignalP-noTM
g_00301,0.109,53,0.107,35,0.125,45,0.102,0.104,N,0.45,SignalP-noTM
g_00302,0.11,25,0.108,25,0.125,21,0.105,0.106,N,0.45,SignalP-noTM
