id,len,ExpAA,First60,PredHel,Topology
g_00036,len=463,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00037,len=249,ExpAA=0.02,First60=0.02,PredHel=0,Topology=o
g_00038,len=466,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00039,len=451,ExpAA=51.80,First60=0.00,PredHel=3,Topology=o271-288i295-312o317-336i
g_00040,len=576,ExpAA=0.19,First60=0.00,PredHel=0,Topology=o
g_00041,len=239,ExpAA=4.76,First60=0.01,PredHel=0,Topology=o
g_00042,len=419,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00043,len=484,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00044,len=434,ExpAA=35.47,First60=34.94,PredHel=2,Topology=o4-21i26-48o
g_00045,len=418,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00046,len=260,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
g_00047,len=483,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00048,len=473,ExpAA=40.78,First60=0.01,PredHel=2,Topology=o246-263i283-305o
g_00049,len=306,ExpAA=16.03,First60=12.64,PredHel=0,Topology=o
g_00050,len=426,ExpAA=0.37,First60=0.00,PredHel=0,Topology=o
g_00051,len=414,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00052,len=417,ExpAA=193.86,First60=38.61,PredHel=9,Topology=i7-26o41-58i67-89o130-149i166-183o198-215i220-242o324-346i358-380o
g_00053,len=484,ExpAA=0.04,First60=0.02,PredHel=0,Topology=o
g_00054,len=278,ExpAA=0.08,First60=0.00,PredHel=0,Topology=o
g_00055,len=484,ExpAA=0.06,First60=0.00,PredHel=0,Topology=o
g_00056,len=407,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00057,len=472,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00058,len=333,ExpAA=2.85,First60=0.01,PredHel=0,Topology=o
g_00059,len=390,ExpAA=13.68,First60=0.01,PredHel=0,Topology=o
g_00060,len=470,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00061,len=377,ExpAA=0.06,First60=0.01,PredHel=0,Topology=o
g_00062,len=483,ExpAA=0.46,First60=0.41,PredHel=0,Topology=o
g_00063,len=416,ExpAA=3.36,First60=0.00,PredHel=0,Topology=o
g_00064,len=834,ExpAA=3.85,First60=3.84,PredHel=0,Topology=o
g_00065,len=483,ExpAA=0.24,First60=0.10,PredHel=0,Topology=o
g_00066,len=483,ExpAA=0.66,First60=0.59,PredHel=0,Topology=o
g_00067,len=417,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00068,len=220,ExpAA=0.23,First60=0.00,PredHel=0,Topology=o
g_00069,len=483,ExpAA=16.31,First60=0.10,PredHel=0,Topology=o
g_00070,len=185,ExpAA=56.65,First60=22.01,PredHel=3,Topology=o32-54i56-75o85-107i
g_00071,len=463,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00072,len=1112,ExpAA=0.25,First60=0.00,PredHel=0,Topology=o
g_00073,len=373,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00074,len=138,ExpAA=23.03,First60=22.99,PredHel=1,Topology=o10-32i
g_00075,len=390,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00076,len=445,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00077,len=465,ExpAA=14.07,First60=3.73,PredHel=0,Topology=o
g_00078,len=483,ExpAA=0.16,First60=0.00,PredHel=0,Topology=o
g_00079,len=483,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00080,len=483,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00081,len=325,ExpAA=3.26,First60=1.45,PredHel=0,Topology=o
g_00082,len=426,ExpAA=153.82,First60=21.11,PredHel=7,Topology=o15-37i90-112o127-149i187-209o213-235i242-264o325-347i
g_00083,len=437,ExpAA=6.45,First60=0.00,PredHel=0,Topology=o
g_00084,len=400,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00085,len=234,ExpAA=37.71,First60=0.06,PredHel=2,Topology=i140-162o172-194i
g_00086,len=310,ExpAA=0.21,First60=0.11,PredHel=0,Topology=o
g_00087,len=427,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00088,len=221,ExpAA=18.68,First60=18.66,PredHel=1,Topology=i30-47o
g_00089,len=481,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00090,len=461,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00091,len=513,ExpAA=18.56,First60=0.21,PredHel=0,Topology=o
g_00092,len=188,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00093,len=184,ExpAA=0.05,First60=0.05,PredHel=0,Topology=i
g_00094,len=293,ExpAA=22.66,First60=0.00,PredHel=1,Topology=i268-290o
g_00095,len=439,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00096,len=218,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00097,len=955,ExpAA=0.05,First60=0.02,PredHel=0,Topology=o
g_00098,len=327,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00099,len=453,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
g_00100,len=481,ExpAA=1.93,First60=0.00,PredHel=0,Topology=o
g_00101,len=301,ExpAA=8.78,First60=8.78,PredHel=0,Topology=o
g_00102,len=481,ExpAA=0.08,First60=0.02,PredHel=0,Topology=o
g_00103,len=342,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00104,len=282,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00105,len=426,ExpAA=0.69,First60=0.00,PredHel=0,Topology=o
g_00106,len=462,ExpAA=0.05,First60=0.02,PredHel=0,Topology=o
g_00107,len=480,ExpAA=0.08,First60=0.00,PredHel=0,Topology=o
g_00108,len=480,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00109,len=481,ExpAA=0.06,First60=0.05,PredHel=0,Topology=o
g_00110,len=470,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00111,len=333,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
g_00112,len=1778,ExpAA=2.71,First60=0.00,PredHel=0,Topology=o
g_00113,len=458,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00114,len=445,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00115,len=416,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
g_00116,len=383,ExpAA=33.83,First60=11.00,PredHel=1,Topology=o297-319i
g_00117,len=480,ExpAA=14.03,First60=0.00,PredHel=0,Topology=o
g_00118,len=402,ExpAA=0.03,First60=0.02,PredHel=0,Topology=o
g_00119,len=338,ExpAA=13.95,First60=13.27,PredHel=0,Topology=o
g_00120,len=480,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00121,len=1796,ExpAA=2.32,First60=0.00,PredHel=0,Topology=o
g_00122,len=430,ExpAA=0.56,First60=0.46,PredHel=0,Topology=o
g_00123,len=355,ExpAA=187.91,First60=21.06,PredHel=8,Topology=i39-61o81-103i116-138o153-170i191-213o228-250i271-293o306-328i
g_00124,len=344,ExpAA=23.40,First60=0.81,PredHel=0,Topology=o
g_00125,len=280,ExpAA=0.10,First60=0.00,PredHel=0,Topology=o
g_00126,len=447,ExpAA=0.01,First60=0.01,PredHel=0,Topology=o
g_00127,len=660,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00128,len=480,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00129,len=314,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
g_00130,len=319,ExpAA=0.07,First60=0.01,PredHel=0,Topology=o
g_00131,len=480,ExpAA=0.05,First60=0.04,PredHel=0,Topology=o
g_00132,len=459,ExpAA=0.52,First60=0.00,PredHel=0,Topology=o
g_00133,len=479,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00134,len=309,ExpAA=1.04,First60=0.00,PredHel=0,Topology=o
g_00135,len=673,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
g_00136,len=407,ExpAA=14.67,First60=0.00,PredHel=0,Topology=o
g_00137,len=479,ExpAA=0.53,First60=0.01,PredHel=0,Topology=o
g_00138,len=480,ExpAA=43.51,First60=20.68,PredHel=2,Topology=i16-35o295-317i
g_00139,len=480,ExpAA=0.09,First60=0.00,PredHel=0,Topology=o
g_00140,len=480,ExpAA=14.29,First60=14.10,PredHel=0,Topology=o
g_00141,len=479,ExpAA=21.69,First60=18.58,PredHel=1,Topology=i44-66o
g_00142,len=435,ExpAA=0.15,First60=0.00,PredHel=0,Topology=o
g_00143,len=256,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00144,len=242,ExpAA=20.61,First60=0.00,PredHel=1,Topology=i95-117o
g_00145,len=472,ExpAA=0.07,First60=0.00,PredHel=0,Topology=o
g_00146,len=284,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00147,len=389,ExpAA=0.19,First60=0.00,PredHel=0,Topology=o
g_00148,len=680,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00149,len=467,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00150,len=364,ExpAA=23.59,First60=22.95,PredHel=1,Topology=i23-45o
g_00151,len=479,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00152,len=430,ExpAA=6.36,First60=5.40,PredHel=0,Topology=o
g_00153,len=478,ExpAA=0.25,First60=0.01,PredHel=0,Topology=o
g_00154,len=469,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00155,len=478,ExpAA=0.24,First60=0.00,PredHel=0,Topology=o
g_00156,len=433,ExpAA=0.50,First60=0.00,PredHel=0,Topology=o
g_00157,len=478,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00158,len=397,ExpAA=216.81,First60=21.48,PredHel=10,Topology=o10-32i63-85o95-114i121-143o163-185i205-227o237-259i305-324o328-350i363-385o
g_00159,len=444,ExpAA=118.29,First60=0.07,PredHel=4,Topology=o97-119i126-148o223-245i297-319o
g_00160,len=466,ExpAA=0.84,First60=0.00,PredHel=0,Topology=o
g_00161,len=413,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00162,len=1758,ExpAA=0.11,First60=0.00,PredHel=0,Topology=o
g_00163,len=366,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00164,len=442,ExpAA=45.38,First60=21.68,PredHel=2,Topology=i12-34o312-334i
g_00165,len=443,ExpAA=165.35,First60=0.01,PredHel=7,Topology=o113-135i155-174o189-211i224-246o261-280i363-382o397-419i
g_00166,len=296,ExpAA=61.17,First60=4.31,PredHel=2,Topology=i130-152o167-189i
g_00167,len=368,ExpAA=140.33,First60=20.54,PredHel=6,Topology=i21-40o172-194i222-244o254-276i283-305o338-360i
g_00168,len=436,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00169,len=751,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00170,len=466,ExpAA=0.29,First60=0.29,PredHel=0,Topology=o
g_00171,len=453,ExpAA=69.41,First60=25.61,PredHel=3,Topology=o15-37i391-413o423-445i
g_00172,len=478,ExpAA=1.97,First60=1.94,PredHel=0,Topology=o
g_00173,len=564,ExpAA=339.60,First60=43.79,PredHel=16,Topology=o5-27i34-56o60-82i103-125o129-151i158-180o200-222i235-257o261-283i317-339o366-388i401-423o446-468i481-503o507-524i536-558o
g_00174,len=478,ExpAA=20.60,First60=0.14,PredHel=1,Topology=o177-199i
g_00175,len=459,ExpAA=0.08,First60=0.07,PredHel=0,Topology=o
g_00176,len=418,ExpAA=0.23,First60=0.00,PredHel=0,Topology=o
g_00177,len=384,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00178,len=477,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00179,len=250,ExpAA=67.45,First60=1.52,PredHel=3,Topology=i159-181o185-207i214-236o
g_00180,len=469,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00181,len=477,ExpAA=44.91,First60=0.00,PredHel=2,Topology=o415-437i444-466o
g_00182,len=478,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00183,len=337,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00184,len=453,ExpAA=21.30,First60=0.00,PredHel=1,Topology=o430-452i
g_00185,len=230,ExpAA=0.20,First60=0.00,PredHel=0,Topology=o
g_00186,len=477,ExpAA=1.67,First60=0.00,PredHel=0,Topology=o
g_00187,len=473,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00188,len=443,ExpAA=0.10,First60=0.05,PredHel=0,Topology=o
g_00189,len=456,ExpAA=0.05,First60=0.00,PredHel=0,Topology=o
g_00190,len=453,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00191,len=478,ExpAA=1.31,First60=0.01,PredHel=0,Topology=o
g_00192,len=478,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00193,len=449,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00194,len=464,ExpAA=0.09,First60=0.09,PredHel=0,Topology=o
g_00195,len=245,ExpAA=0.31,First60=0.00,PredHel=0,Topology=o
g_00196,len=553,ExpAA=0.02,First60=0.01,PredHel=0,Topology=o
g_00197,len=477,ExpAA=37.13,First60=1.29,PredHel=0,Topology=o
g_00198,len=423,ExpAA=151.80,First60=0.02,PredHel=7,Topology=i178-197o212-234i255-272o282-304i317-339o349-371i391-410o
g_00199,len=455,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00200,len=474,ExpAA=0.30,First60=0.00,PredHel=0,Topology=o
g_00201,len=448,ExpAA=189.30,First60=20.96,PredHel=8,Topology=i31-50o77-99i144-166o198-220i233-252o267-289i313-335o366-388i
g_00202,len=429,ExpAA=0.39,First60=0.02,PredHel=0,Topology=o
g_00203,len=570,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00204,len=1009,ExpAA=0.06,First60=0.00,PredHel=0,Topology=o
g_00205,len=243,ExpAA=0.04,First60=0.01,PredHel=0,Topology=o
g_00206,len=440,ExpAA=0.07,First60=0.00,PredHel=0,Topology=o
g_00207,len=416,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00208,len=466,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00209,len=477,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00210,len=455,ExpAA=6.73,First60=6.73,PredHel=0,Topology=o
g_00211,len=417,ExpAA=223.99,First60=40.35,PredHel=11,Topology=i9-31o41-60i92-109o113-135i142-159o164-186i195-212o262-281i311-333o353-375i388-405o
g_00212,len=477,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00213,len=393,ExpAA=0.04,First60=0.03,PredHel=0,Topology=o
g_00214,len=477,ExpAA=0.10,First60=0.10,PredHel=0,Topology=o
g_00215,len=159,ExpAA=3.37,First60=3.37,PredHel=0,Topology=o
g_00216,len=375,ExpAA=35.62,First60=0.00,PredHel=2,Topology=i211-233o270-292i
g_00217,len=406,ExpAA=6.08,First60=6.05,PredHel=0,Topology=o
g_00218,len=1761,ExpAA=8.04,First60=7.69,PredHel=0,Topology=o
g_00219,len=442,ExpAA=0.09,First60=0.00,PredHel=0,Topology=o
g_00220,len=288,ExpAA=0.15,First60=0.03,PredHel=0,Topology=o
g_00221,len=476,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00222,len=450,ExpAA=26.59,First60=0.00,PredHel=1,Topology=o332-354i
g_00223,len=599,ExpAA=4.90,First60=4.58,PredHel=0,Topology=o
g_00224,len=456,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00225,len=244,ExpAA=0.03,First60=0.01,PredHel=0,Topology=o
g_00226,len=420,ExpAA=0.09,First60=0.00,PredHel=0,Topology=o
g_00227,len=476,ExpAA=7.04,First60=0.05,PredHel=0,Topology=o
g_00228,len=476,ExpAA=0.32,First60=0.00,PredHel=0,Topology=o
g_00229,len=476,ExpAA=0.45,First60=0.44,PredHel=0,Topology=o
g_00230,len=340,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00231,len=450,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00232,len=188,ExpAA=0.99,First60=0.99,PredHel=0,Topology=o
g_00233,len=332,ExpAA=23.77,First60=20.13,PredHel=1,Topology=i7-24o
g_00234,len=440,ExpAA=213.38,First60=0.00,PredHel=10,Topology=i102-124o139-158i170-189o194-216i228-250o265-284i305-327o337-354i375-397o407-429i
g_00235,len=315,ExpAA=0.17,First60=0.00,PredHel=0,Topology=o
g_00236,len=401,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00237,len=476,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00238,len=434,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00239,len=449,ExpAA=9.18,First60=0.00,PredHel=0,Topology=o
g_00240,len=412,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00241,len=355,ExpAA=0.27,First60=0.19,PredHel=0,Topology=o
g_00242,len=461,ExpAA=31.30,First60=16.96,PredHel=2,Topology=o4-21i58-75o
g_00243,len=281,ExpAA=8.61,First60=3.78,PredHel=0,Topology=o
g_00244,len=455,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00245,len=404,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00246,len=475,ExpAA=0.20,First60=0.00,PredHel=0,Topology=o
g_00247,len=475,ExpAA=3.60,First60=0.00,PredHel=0,Topology=o
g_00248,len=475,ExpAA=0.16,First60=0.00,PredHel=0,Topology=o
g_00249,len=475,ExpAA=15.68,First60=15.48,PredHel=0,Topology=o
g_00250,len=388,ExpAA=23.02,First60=0.00,PredHel=1,Topology=o100-122i
g_00251,len=868,ExpAA=43.54,First60=20.99,PredHel=2,Topology=o38-60i269-291o
g_00252,len=466,ExpAA=0.27,First60=0.01,PredHel=0,Topology=o
g_00253,len=261,ExpAA=0.05,First60=0.03,PredHel=0,Topology=o
g_00254,len=453,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00255,len=324,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00256,len=325,ExpAA=87.08,First60=23.52,PredHel=4,Topology=i25-47o62-84i89-106o121-143i
g_00257,len=210,ExpAA=2.97,First60=2.95,PredHel=0,Topology=o
g_00258,len=241,ExpAA=0.05,First60=0.01,PredHel=0,Topology=o
g_00259,len=295,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00260,len=461,ExpAA=0.04,First60=0.00,PredHel=0,Topology=o
g_00261,len=279,ExpAA=0.05,First60=0.02,PredHel=0,Topology=o
g_00262,len=474,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00263,len=474,ExpAA=1.02,First60=1.02,PredHel=0,Topology=o
g_00264,len=474,ExpAA=0.31,First60=0.00,PredHel=0,Topology=o
g_00265,len=322,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00266,len=465,ExpAA=0.67,First60=0.67,PredHel=0,Topology=o
g_00267,len=526,ExpAA=1.85,First60=1.84,PredHel=0,Topology=o
g_00268,len=290,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00269,len=474,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00270,len=316,ExpAA=8.17,First60=8.17,PredHel=0,Topology=o
g_00271,len=178,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00272,len=473,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00273,len=473,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00274,len=88,ExpAA=5.14,First60=1.26,PredHel=0,Topology=o
g_00275,len=435,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00276,len=293,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00277,len=388,ExpAA=0.10,First60=0.00,PredHel=0,Topology=o
g_00278,len=409,ExpAA=32.27,First60=22.08,PredHel=1,Topology=i7-29o
g_00279,len=447,ExpAA=0.06,First60=0.00,PredHel=0,Topology=o
g_00280,len=668,ExpAA=0.05,First60=0.05,PredHel=0,Topology=o
g_00281,len=473,ExpAA=0.04,First60=0.02,PredHel=0,Topology=o
g_00282,len=269,ExpAA=0.05,First60=0.01,PredHel=0,Topology=o
g_00283,len=428,ExpAA=0.16,First60=0.15,PredHel=0,Topology=o
g_00284,len=463,ExpAA=1.56,First60=0.00,PredHel=0,Topology=o
g_00285,len=301,ExpAA=1.32,First60=1.31,PredHel=0,Topology=o
g_00286,len=257,ExpAA=7.68,First60=7.38,PredHel=0,Topology=o
g_00287,len=451,ExpAA=0.11,First60=0.09,PredHel=0,Topology=o
g_00288,len=355,ExpAA=107.17,First60=8.81,PredHel=3,Topology=i54-73o137-159i274-296o
g_00289,len=284,ExpAA=8.69,First60=0.04,PredHel=0,Topology=o
g_00290,len=283,ExpAA=2.62,First60=0.52,PredHel=0,Topology=o
g_00291,len=473,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00292,len=440,ExpAA=0.37,First60=0.00,PredHel=0,Topology=o
g_00293,len=316,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00294,len=473,ExpAA=7.06,First60=6.95,PredHel=0,Topology=o
g_00295,len=163,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00296,len=374,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00297,len=441,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00298,len=1073,ExpAA=0.34,First60=0.19,PredHel=0,Topology=o
g_00299,len=470,ExpAA=110.46,First60=0.01,PredHel=5,Topology=o288-307i314-336o346-368i389-411o426-448i
g_00300,len=430,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00301,len=411,ExpAA=0.20,First60=0.00,PredHel=0,Topology=o
g_00302,len=457,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00303,len=366,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00304,len=410,ExpAA=1.20,First60=0.00,PredHel=0,Topology=o
g_00305,len=412,ExpAA=13.29,First60=12.29,PredHel=0,Topology=o
g_00306,len=387,ExpAA=20.62,First60=0.00,PredHel=1,Topology=i76-98o
g_00307,len=333,ExpAA=40.70,First60=0.07,PredHel=2,Topology=i65-87o91-108i
g_00308,len=472,ExpAA=0.01,First60=0.00,PredHel=0,Topology=o
g_00309,len=472,ExpAA=16.16,First60=16.10,PredHel=0,Topology=o
g_00310,len=459,ExpAA=0.17,First60=0.00,PredHel=0,Topology=o
g_00311,len=415,ExpAA=22.69,First60=22.54,PredHel=1,Topology=i20-42o
g_00312,len=402,ExpAA=0.58,First60=0.00,PredHel=0,Topology=o
g_00313,len=567,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00314,len=462,ExpAA=18.33,First60=17.68,PredHel=1,Topology=i7-29o
g_00315,len=472,ExpAA=21.91,First60=21.16,PredHel=1,Topology=i5-27o
g_00316,len=108,ExpAA=1.09,First60=0.00,PredHel=0,Topology=o
g_00317,len=449,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00318,len=472,ExpAA=311.04,First60=30.93,PredHel=15,Topology=o26-48i61-83o87-104i111-130o135-157i177-196o200-217i222-244o254-276i288-310o315-332i339-361o376-392i404-426o441-463i
g_00319,len=471,ExpAA=0.03,First60=0.00,PredHel=0,Topology=o
g_00320,len=465,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00321,len=347,ExpAA=0.42,First60=0.00,PredHel=0,Topology=o
g_00322,len=306,ExpAA=0.50,First60=0.04,PredHel=0,Topology=o
g_00323,len=472,ExpAA=0.05,First60=0.01,PredHel=0,Topology=o
g_00324,len=240,ExpAA=0.12,First60=0.00,PredHel=0,Topology=o
g_00325,len=455,ExpAA=110.41,First60=1.10,PredHel=5,Topology=i131-153o178-200i205-227o319-337i342-364o
g_00326,len=562,ExpAA=0.16,First60=0.10,PredHel=0,Topology=o
g_00327,len=346,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00328,len=427,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00329,len=472,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00330,len=370,ExpAA=35.97,First60=0.01,PredHel=0,Topology=o
g_00331,len=468,ExpAA=0.00,First60=0.00,PredHel=0,Topology=o
g_00332,len=472,ExpAA=0.02,First60=0.00,PredHel=0,Topology=o
g_00333,len=264,ExpAA=114.69,First60=19.58,PredHel=5,Topology=o40-62i82-104o158-180i187-208o228-250i
g_00334,len=737,ExpAA=0.41,First60=0.40,PredHel=0,Topology=o
